active_proc,uptime,cpu_percent,cpu_ctx_switches,cpu_interrupts,cpu_soft_interrupts,cpu_syscalls,cpu_count_logical,cpu_count_physical,mem_available,mem_used,mem_percent,disk_total,disk_used,disk_free,disk_percent,swap_mem_used,swap_mem_free,swap_mem_percent,failure_warning
542,112535.76,16.7,644969,794583,230475291,1138029,8,4,7303159808,7769489408,57.5,500068036608,15324188672,8468860928,64.4,5157158912,1285292032,80.0,0
542,112537.77,10.8,626275,828524,230484694,1138081,8,4,7226802176,7841304576,57.9,500068036608,15324188672,8468287488,64.4,5157158912,1285292032,80.0,0
542,112539.78,12.5,623184,839594,230487914,1138111,8,4,7214264320,7853195264,58.0,500068036608,15324188672,8468287488,64.4,5157158912,1285292032,80.0,0
542,112541.80,14.5,611789,841475,230504009,1138043,8,4,7167311872,7899189248,58.3,500068036608,15324188672,8468283392,64.4,5157158912,1285292032,80.0,0
542,112543.81,7.4,616766,834280,230513371,1138348,8,4,7188946944,7871025152,58.2,500068036608,15324188672,8468283392,64.4,5157158912,1285292032,80.0,0
542,112545.83,4.5,623026,828757,230514150,1137315,8,4,7210356736,7848407040,58.0,500068036608,15324188672,8468283392,64.4,5157158912,1285292032,80.0,0
542,112547.84,4.2,625728,826537,230515457,1137316,8,4,7221428224,7836516352,58.0,500068036608,15324188672,8468283392,64.4,5157158912,1285292032,80.0,0
542,112549.86,3.9,625265,820010,230515990,1137315,8,4,7219527680,7836979200,58.0,500068036608,15324188672,8468283392,64.4,5157158912,1285292032,80.0,0
542,112551.87,11.5,625935,801617,230517897,1137290,8,4,7222169600,7835074560,58.0,500068036608,15324188672,8468283392,64.4,5157158912,1285292032,80.0,0
542,112553.89,7.5,622629,802209,230521603,1137290,8,4,7208628224,7839166464,58.0,500068036608,15324188672,8468283392,64.4,5157158912,1285292032,80.0,0
544,112555.90,12.5,618233,805027,230528554,1137449,8,4,7191273472,7854260224,58.1,500068036608,15324188672,8468283392,64.4,5157158912,1285292032,80.0,0
543,112557.91,14.5,617902,770488,230534586,1137555,8,4,7190351872,7855161344,58.1,500068036608,15324188672,8468279296,64.4,5157158912,1285292032,80.0,0
543,112559.93,3.8,618001,770452,230535163,1137555,8,4,7190757376,7855730688,58.1,500068036608,15324188672,8468287488,64.4,5157158912,1285292032,80.0,0
543,112561.94,7.9,628758,796283,230537017,1137137,8,4,7233105920,7802974208,57.9,500068036608,15324188672,8468058112,64.4,5123604480,1318846464,79.5,0
543,112563.95,14.7,629686,805242,230546569,1137267,8,4,7237439488,7798751232,57.9,500068036608,15324188672,8467845120,64.4,5123604480,1318846464,79.5,0
543,112565.96,13.0,614652,802070,230554142,1138052,8,4,7179075584,7806431232,58.2,500068036608,15324188672,8467255296,64.4,5090050048,1352400896,79.0,0
543,112567.97,9.1,604474,802059,230561307,1138105,8,4,7137603584,7837954048,58.5,500068036608,15324188672,8467218432,64.4,5090050048,1352400896,79.0,0
543,112569.99,13.2,583817,839517,230569362,1138666,8,4,7055290368,7919112192,58.9,500068036608,15324188672,8467017728,64.4,5090050048,1352400896,79.0,0
543,112572.00,5.7,583147,835194,230572113,1138724,8,4,7052783616,7920332800,58.9,500068036608,15324188672,8467005440,64.4,5090050048,1352400896,79.0,0
543,112574.02,3.7,593174,826024,230572887,1138204,8,4,7091724288,7881150464,58.7,500068036608,15324188672,8467009536,64.4,5090050048,1352400896,79.0,0
543,112576.04,4.5,591302,824003,230578580,1138207,8,4,7084068864,7889530880,58.8,500068036608,15324188672,8466743296,64.4,5090050048,1352400896,79.0,0
542,112578.05,11.4,580559,835287,230581447,1137383,8,4,7036690432,7935803392,59.0,500068036608,15324188672,8466743296,64.4,5090050048,1352400896,79.0,0
541,112580.06,4.1,581502,835262,230582748,1137381,8,4,7040544768,7931764736,59.0,500068036608,15324188672,8466743296,64.4,5090050048,1352400896,79.0,0
541,112582.08,5.9,595794,819779,230584581,1137312,8,4,7098802176,7871660032,58.7,500068036608,15324188672,8466743296,64.4,5090050048,1352400896,79.0,0
541,112584.09,9.1,583870,828372,230587626,1138042,8,4,7052951552,7917088768,58.9,500068036608,15324188672,8466743296,64.4,5090050048,1352400896,79.0,0
541,112586.11,4.0,584863,827385,230588933,1137353,8,4,7054196736,7915302912,58.9,500068036608,15324188672,8466743296,64.4,5090050048,1352400896,79.0,0
541,112588.13,8.3,585676,824806,230592231,1137852,8,4,7059570688,7910203392,58.9,500068036608,15324188672,8466739200,64.4,5090050048,1352400896,79.0,0
541,112590.14,5.6,585865,785642,230593866,1137788,8,4,7060082688,7909888000,58.9,500068036608,15324188672,8466739200,64.4,5090050048,1352400896,79.0,0
543,112592.15,12.6,582196,788242,230601256,1138108,8,4,7046373376,7921688576,59.0,500068036608,15324188672,8466735104,64.4,5090050048,1352400896,79.0,0
549,112594.16,18.4,587917,778066,230615761,1138315,8,4,7070646272,7896924160,58.8,500068036608,15324188672,8466583552,64.4,5090050048,1352400896,79.0,0
550,112596.17,14.1,580892,786043,230624751,1138519,8,4,7042707456,7925313536,59.0,500068036608,15324188672,8466571264,64.4,5090050048,1352400896,79.0,0
549,112598.19,13.4,584221,784719,230636517,1138621,8,4,7056760832,7910252544,58.9,500068036608,15324188672,8466554880,64.4,5022941184,1419509760,78.0,0
548,112600.20,16.0,588173,801917,230646273,1132710,8,4,7048736768,7917088768,59.0,500068036608,15324188672,8477208576,64.4,5022941184,1419509760,78.0,0
547,112602.21,18.4,591467,801861,230658448,1132864,8,4,7062859776,7900426240,58.9,500068036608,15324188672,8476979200,64.4,5022941184,1419509760,78.0,0
547,112604.22,15.4,597819,797305,230665453,1132507,8,4,7087415296,7852236800,58.7,500068036608,15324188672,8480874496,64.4,5022941184,1419509760,78.0,0
547,112606.23,24.4,521743,807979,230679934,1132615,8,4,6776250368,8018579456,60.6,500068036608,15324188672,8480436224,64.4,4821614592,1620836352,74.8,0
547,112608.24,15.2,505280,813941,230696219,1132608,8,4,6708789248,8088322048,60.9,500068036608,15324188672,8480456704,64.4,4821614592,1620836352,74.8,0
546,112610.26,18.0,767624,772310,230720224,1102015,8,4,7658041344,7337578496,55.4,500068036608,15324188672,8480317440,64.4,4754505728,1687945216,73.8,0
546,112612.27,5.1,766128,793471,230720816,1102069,8,4,7652134912,7343513600,55.5,500068036608,15324188672,8480317440,64.4,4754505728,1687945216,73.8,0
546,112614.28,13.2,738906,801101,230725261,1102411,8,4,7542034432,7420944384,56.1,500068036608,15324188672,8480256000,64.4,4687396864,1755054080,72.8,0
547,112616.30,11.0,708359,853961,230755383,1076325,8,4,7310065664,7652052992,57.4,500068036608,15324188672,8480251904,64.4,4687396864,1755054080,72.8,0
547,112618.32,5.8,722288,835421,230757544,1076534,8,4,7367974912,7593959424,57.1,500068036608,15324188672,8480251904,64.4,4687396864,1755054080,72.8,0
547,112620.33,9.8,705988,845632,230758264,1076537,8,4,7301222400,7660511232,57.5,500068036608,15324188672,8480251904,64.4,4687396864,1755054080,72.8,0
547,112622.35,10.6,684677,846973,230758923,1076540,8,4,7213944832,7748853760,58.0,500068036608,15324188672,8480251904,64.4,4687396864,1755054080,72.8,0
547,112624.36,3.0,692744,837812,230759945,1076531,8,4,7246950400,7716372480,57.8,500068036608,15324188672,8480247808,64.4,4687396864,1755054080,72.8,0
547,112626.38,4.4,695836,843162,230764499,1076521,8,4,7259574272,7702564864,57.7,500068036608,15324188672,8480247808,64.4,4687396864,1755054080,72.8,0
545,112628.39,6.9,754068,797345,230767123,1076428,8,4,7497711616,7464693760,56.4,500068036608,15324188672,8480247808,64.4,4687396864,1755054080,72.8,0
545,112630.41,14.7,724080,803700,230784259,1076815,8,4,7376465920,7586398208,57.1,500068036608,15324188672,8479776768,64.4,4687396864,1755054080,72.8,0
545,112632.42,5.7,723172,801271,230786217,1076826,8,4,7372791808,7590555648,57.1,500068036608,15324188672,8479641600,64.4,4687396864,1755054080,72.8,0
545,112634.44,5.1,723431,782759,230787386,1076887,8,4,7374102528,7588593664,57.1,500068036608,15324188672,8479641600,64.4,4687396864,1755054080,72.8,0
541,112636.45,13.1,707574,763569,230790236,1094564,8,4,7381557248,7580209152,57.0,500068036608,15324188672,8479342592,64.4,4687396864,1755054080,72.8,0
541,112638.46,17.5,684709,763648,230790925,1116893,8,4,7379361792,7580971008,57.0,500068036608,15324188672,8479342592,64.4,4687396864,1755054080,72.8,0
541,112640.47,18.8,666564,764646,230792782,1130692,8,4,7361560576,7593115648,57.2,500068036608,15324188672,8479342592,64.4,4687396864,1755054080,72.8,0
541,112642.49,16.4,514593,938872,230800552,1130216,8,4,6737137664,8141545472,60.8,500068036608,15324188672,8475000832,64.4,4553179136,1889271808,70.7,0
542,112644.50,25.9,489535,939689,230814328,1136618,8,4,6660722688,8172204032,61.2,500068036608,15324188672,8475484160,64.4,4519624704,1922826240,70.2,0
542,112646.51,17.4,465346,928067,230823755,1150666,8,4,6619185152,8210251776,61.5,500068036608,15324188672,8472580096,64.4,4458807296,1983643648,69.2,0
539,112648.52,13.8,463393,927714,230827905,1151233,8,4,6613508096,8214323200,61.5,500068036608,15324188672,8472932352,64.4,4459069440,909639680,83.1,0
540,112650.53,18.1,455359,924365,230835948,1152985,8,4,6587777024,8237785088,61.7,500068036608,15324188672,9546944512,61.6,4459069440,909639680,83.1,0
543,112652.54,19.0,441305,926506,230844492,1157848,8,4,6550130688,8272322560,61.9,500068036608,15324188672,9546240000,61.6,4459069440,909639680,83.1,0
541,112654.55,16.3,423400,925983,230846121,1174018,8,4,6543024128,8278904832,61.9,500068036608,15324188672,9538113536,61.6,4459069440,909639680,83.1,0
544,112656.56,27.8,379933,933506,230875313,1187700,8,4,6421024768,8397967360,62.6,500068036608,15324188672,9537937408,61.6,4459069440,909639680,83.1,0
544,112658.58,16.3,370483,938056,230887896,1197450,8,4,6422253568,8395833344,62.6,500068036608,15324188672,9529335808,61.7,4459069440,909639680,83.1,0
547,112660.60,24.1,324272,937088,230928642,1208065,8,4,6276567040,8538832896,63.5,500068036608,15324188672,9526489088,61.7,4459069440,909639680,83.1,0
548,112662.62,39.2,272065,836208,230996776,1218699,8,4,6106169344,8706023424,64.5,500068036608,15324188672,9525788672,61.7,4391960576,976748544,81.8,0
551,112664.63,26.9,236670,825331,231049592,1220199,8,4,5967335424,8830406656,65.3,500068036608,15324188672,9525161984,61.7,4358406144,1010302976,81.2,0
551,112666.64,15.3,227800,772229,231060792,1221979,8,4,5938302976,8866099200,65.4,500068036608,15324188672,9524924416,61.7,4324851712,1043857408,80.6,0
551,112668.66,9.5,231462,769117,231062782,1222086,8,4,5953732608,8849985536,65.3,500068036608,15324188672,9524826112,61.7,4324851712,1043857408,80.6,0
551,112670.67,22.8,277571,778762,231125150,1223332,8,4,6147698688,8940584960,64.2,500068036608,15324188672,9523224576,61.7,4324851712,1043857408,80.6,0
551,112672.68,17.8,277537,781203,231131130,1221491,8,4,6140018688,8948207616,64.3,500068036608,15324188672,9523060736,61.7,4324851712,1043857408,80.6,0
551,112674.70,18.0,253875,791274,231159934,1221558,8,4,6043373568,9044348928,64.8,500068036608,15324188672,9522831360,61.7,4324851712,1043857408,80.6,0
551,112676.71,22.3,246842,798145,231177474,1221696,8,4,6015131648,9071595520,65.0,500068036608,15324188672,9523027968,61.7,4324851712,1043857408,80.6,0
551,112678.73,19.2,245790,789308,231179162,1221720,8,4,6010920960,9075044352,65.0,500068036608,15324188672,9522798592,61.7,4324851712,1043857408,80.6,0
552,112680.75,19.2,242295,760204,231180315,1231951,8,4,6038511616,9047486464,64.9,500068036608,15324188672,9522782208,61.7,4324851712,1043857408,80.6,0
552,112682.76,20.7,247212,749535,231182111,1234929,8,4,6070849536,9014579200,64.7,500068036608,15324188672,9522769920,61.7,4324851712,1043857408,80.6,0
551,112684.78,18.8,254262,749524,231182507,1234829,8,4,6099316736,8986177536,64.5,500068036608,15324188672,9522769920,61.7,4324851712,1043857408,80.6,0
551,112686.79,19.1,254966,747959,231182873,1234850,8,4,6102286336,8983973888,64.5,500068036608,15324188672,9522769920,61.7,4324851712,1043857408,80.6,0
550,112688.81,18.8,254029,747818,231184751,1234853,8,4,6098460672,8987455488,64.5,500068036608,15324188672,9522757632,61.7,4324851712,1043857408,80.6,0
550,112690.82,18.0,247765,748182,231191348,1234997,8,4,6073393152,9012432896,64.6,500068036608,15324188672,9522753536,61.7,4324851712,1043857408,80.6,0
551,112692.83,21.1,243394,748298,231202400,1237213,8,4,6064566272,9021235200,64.7,500068036608,15324188672,9522872320,61.7,4324851712,1043857408,80.6,0
551,112694.85,21.6,242328,740236,231205357,1241830,8,4,6079111168,9006686208,64.6,500068036608,15324188672,9522868224,61.7,4324851712,1043857408,80.6,0
551,112696.87,19.6,242082,731569,231206128,1243562,8,4,6085197824,9000321024,64.6,500068036608,15324188672,9522864128,61.7,4324851712,1043857408,80.6,0
550,112698.88,20.0,245974,730869,231206609,1245075,8,4,6107336704,8977833984,64.5,500068036608,15324188672,9522864128,61.7,4324851712,1043857408,80.6,0
550,112700.90,18.8,254707,730895,231207047,1243695,8,4,6137454592,8948097024,64.3,500068036608,15324188672,9522864128,61.7,4324851712,1043857408,80.6,0
551,112702.91,21.6,244313,736884,231223201,1242146,8,4,6088536064,8996192256,64.6,500068036608,15324188672,9521582080,61.7,4324851712,1043857408,80.6,0
551,112704.92,19.0,244407,728715,231223814,1246686,8,4,6107516928,8977731584,64.4,500068036608,15324188672,9521582080,61.7,4324851712,1043857408,80.6,0
551,112706.94,19.7,244338,728797,231224217,1246602,8,4,6106890240,8978583552,64.5,500068036608,15324188672,9521475584,61.7,4324851712,1043857408,80.6,0
551,112708.95,19.4,244160,728798,231224575,1246584,8,4,6106087424,8978690048,64.5,500068036608,15324188672,9521475584,61.7,4324851712,1043857408,80.6,0
551,112710.97,19.8,244090,728800,231225363,1246571,8,4,6105747456,8979165184,64.5,500068036608,15324188672,9521475584,61.7,4324851712,1043857408,80.6,0
551,112712.99,20.3,248926,733329,231226463,1246186,8,4,6123978752,8960778240,64.4,500068036608,15324188672,9521475584,61.7,4324851712,1043857408,80.6,0
551,112715.00,20.5,249144,729353,231227100,1245403,8,4,6121664512,8963272704,64.4,500068036608,15324188672,9521475584,61.7,4324851712,1043857408,80.6,0
551,112717.01,19.6,249239,729354,231227437,1245404,8,4,6122057728,8963379200,64.4,500068036608,15324188672,9521475584,61.7,4324851712,1043857408,80.6,0
551,112719.03,19.5,249204,729356,231227765,1245392,8,4,6121865216,8962908160,64.4,500068036608,15324188672,9521475584,61.7,4324851712,1043857408,80.6,0
551,112721.04,18.8,244499,737396,231232624,1242641,8,4,6091325440,8992694272,64.5,500068036608,15324188672,9521467392,61.7,4324851712,1043857408,80.6,0
551,112723.05,20.7,244315,737190,231233008,1242080,8,4,6088273920,8995606528,64.6,500068036608,15324188672,9521467392,61.7,4324851712,1043857408,80.6,0
551,112725.07,19.4,244196,733143,231233423,1243319,8,4,6092861440,8991014912,64.5,500068036608,15324188672,9521467392,61.7,4324851712,1043857408,80.6,0
551,112727.08,20.0,244030,733145,231234286,1244206,8,4,6095814656,8987901952,64.5,500068036608,15324188672,9521446912,61.7,4324851712,1043857408,80.6,0
551,112729.09,20.9,242343,733654,231236193,1245397,8,4,6093783040,8989741056,64.5,500068036608,15324188672,9521446912,61.7,4324851712,1043857408,80.6,0
551,112731.11,19.6,246206,733656,231236563,1243228,8,4,6100721664,8983400448,64.5,500068036608,15324188672,9521446912,61.7,4324851712,1043857408,80.6,0
550,112733.12,19.8,252003,733282,231237354,1243211,8,4,6124396544,8958763008,64.4,500068036608,15324188672,9521463296,61.7,4324851712,1043857408,80.6,0
550,112735.14,21.0,251402,733290,231239396,1243212,8,4,6121938944,8960921600,64.4,500068036608,15324188672,9521446912,61.7,4324851712,1043857408,80.6,0
550,112737.16,16.6,250420,733296,231243001,1243049,8,4,6117249024,8964612096,64.4,500068036608,15324188672,9521446912,61.7,4324851712,1043857408,80.6,0
549,112739.17,16.2,256043,733321,231256227,1240941,8,4,6131646464,8950185984,64.3,500068036608,15324188672,9521446912,61.7,4324851712,1043857408,80.6,0
551,112741.18,14.9,247287,743290,231279369,1238637,8,4,6086344704,8995651584,64.6,500068036608,15324188672,9521438720,61.7,4324851712,1043857408,80.6,0
551,112743.20,16.7,192714,862721,231292126,1239060,8,4,5864546304,9217200128,65.9,500068036608,15324188672,9521270784,61.7,4324851712,1043857408,80.6,0
550,112745.21,13.5,189793,867650,231295871,1238680,8,4,5851025408,9229672448,65.9,500068036608,15324188672,9520898048,61.7,4324851712,1043857408,80.6,0
550,112747.22,8.8,247157,810589,231299526,1238032,8,4,6083334144,8997515264,64.6,500068036608,15324188672,9520590848,61.7,4324851712,1043857408,80.6,0
550,112749.24,10.5,244379,801985,231303940,1237847,8,4,6071197696,9010028544,64.7,500068036608,15324188672,9520590848,61.7,4324851712,1043857408,80.6,0
550,112751.25,7.3,244656,801976,231304323,1237796,8,4,6072123392,9008738304,64.7,500068036608,15324188672,9520586752,61.7,4324851712,1043857408,80.6,0
550,112753.27,10.7,244282,802990,231311904,1237209,8,4,6068187136,9012756480,64.7,500068036608,15324188672,9520926720,61.7,4324851712,1043857408,80.6,0
550,112755.28,8.5,243229,803055,231313602,1237209,8,4,6063874048,9017094144,64.7,500068036608,15324188672,9520922624,61.7,4324851712,1043857408,80.6,0
550,112757.30,9.1,244140,798495,231314451,1237175,8,4,6067466240,9013358592,64.7,500068036608,15324188672,9520922624,61.7,4324851712,1043857408,80.6,0
550,112759.31,10.9,247506,800159,231319069,1236898,8,4,6080118784,9001971712,64.6,500068036608,15324188672,9520918528,61.7,4324851712,1043857408,80.6,0
550,112761.33,8.5,246614,794211,231320604,1236901,8,4,6076477440,9004224512,64.6,500068036608,15324188672,9520918528,61.7,4324851712,1043857408,80.6,0
550,112763.34,4.7,246657,743649,231320963,1253348,8,4,6144020480,8936509440,64.2,500068036608,15324188672,9520918528,61.7,4324851712,1043857408,80.6,0
553,112765.36,15.0,233590,730003,231367914,1265074,8,4,6138527744,8942055424,64.3,500068036608,15324188672,9520877568,61.7,4324851712,1043857408,80.6,0
554,112767.37,10.5,239743,719812,231371514,1269807,8,4,6183116800,8895471616,64.0,500068036608,15324188672,9520644096,61.7,4324851712,1043857408,80.6,0
555,112769.39,30.0,138262,752368,231408113,1335661,8,4,6037188608,9042726912,64.9,500068036608,15324188672,9520627712,61.7,4324851712,1043857408,80.6,0
555,112771.40,17.0,134621,755232,231414059,1335727,8,4,6022545408,9056575488,64.9,500068036608,15324188672,9520623616,61.7,4324851712,1043857408,80.6,0
557,112773.42,56.6,37226,811175,231622198,1399375,8,4,5884317696,9194635264,65.7,500068036608,15324188672,9515220992,61.7,4324851712,1043857408,80.6,0
557,112775.45,94.1,35419,811145,231626656,1401109,8,4,5884018688,9193222144,65.8,500068036608,15324188672,9500061696,61.7,4324851712,1043857408,80.6,1
556,112777.48,96.5,48364,794321,231631083,1403982,8,4,5948809216,9127825408,65.4,500068036608,15324188672,9485545472,61.8,4324851712,1043857408,80.6,1
557,112779.50,98.8,53357,794284,231633616,1400658,8,4,5955645440,9121071104,65.3,500068036608,15324188672,9474908160,61.8,4324851712,1043857408,80.6,1
557,112781.53,99.0,89872,794226,231639275,1384021,8,4,6037065728,9039200256,64.9,500068036608,15324188672,9463087104,61.8,4324851712,1043857408,80.6,1
557,112783.56,95.3,75261,794057,231680903,1388727,8,4,5996494848,9079734272,65.1,500068036608,15324188672,9453797376,61.8,4324851712,1043857408,80.6,1
567,112785.59,99.4,107671,792693,231686944,1373121,8,4,6065324032,9010962432,64.7,500068036608,15324188672,9444118528,61.9,4324851712,1043857408,80.6,1
567,112787.61,98.3,65419,793732,231740814,1394520,8,4,5979910144,9095860224,65.2,500068036608,15324188672,9432793088,61.9,4324851712,1043857408,80.6,1
567,112789.64,99.0,70361,772239,231777633,1396523,8,4,6008356864,9068568576,65.0,500068036608,15324188672,9422860288,61.9,4324851712,1043857408,80.6,1
567,112791.68,99.2,90018,766168,231792222,1393607,8,4,6076928000,8999223296,64.6,500068036608,15324188672,9412603904,61.9,4324851712,1043857408,80.6,1
567,112793.71,99.2,96290,753432,231800660,1399046,8,4,6124920832,8951148544,64.3,500068036608,15324188672,9401647104,62.0,4324851712,1043857408,80.6,1
567,112795.72,34.5,130503,740566,231803962,1386439,8,4,6213394432,8861319168,63.8,500068036608,15324188672,9281114112,62.3,4324851712,1043857408,80.6,0
565,112797.73,11.0,209309,705403,231809374,1351292,8,4,6392221696,8679059456,62.8,500068036608,15324188672,9400426496,62.0,4324851712,1043857408,80.6,0
565,112799.75,5.7,207771,710016,231812622,1351189,8,4,6385500160,8683995136,62.8,500068036608,15324188672,9400201216,62.0,4324851712,1043857408,80.6,0
565,112801.76,6.1,207939,705429,231813980,1351030,8,4,6385537024,8685105152,62.8,500068036608,15324188672,9400184832,62.0,4324851712,1043857408,80.6,0
568,112803.77,13.6,210427,712434,231825208,1337376,8,4,6339907584,8729092096,63.1,500068036608,15324188672,9399930880,62.0,4324851712,1043857408,80.6,0
573,112805.78,24.1,185927,716447,231846557,1341645,8,4,6256934912,8799928320,63.6,500068036608,15324188672,9399439360,62.0,4324851712,1043857408,80.6,0
574,112807.79,21.4,185613,716962,231854175,1336191,8,4,6233309184,8811864064,63.7,500068036608,15324188672,9403109376,62.0,4324851712,1043857408,80.6,0
574,112809.81,10.4,184830,718652,231860589,1335834,8,4,6228639744,8816238592,63.7,500068036608,15324188672,9403109376,62.0,4324851712,1043857408,80.6,0
579,112811.83,20.6,145927,722504,231879320,1335927,8,4,6069661696,8969748480,64.7,500068036608,15324188672,9403383808,62.0,4324851712,1043857408,80.6,0
583,112813.84,50.7,66422,723987,231988220,1409474,8,4,6045270016,8993697792,64.8,500068036608,15324188672,9447219200,61.9,4324851712,1043857408,80.6,0
585,112815.86,51.3,55255,730276,232069549,1416619,8,4,6028795904,9006231552,64.9,500068036608,15324188672,9421770752,61.9,4324851712,1043857408,80.6,0
586,112817.87,24.9,46818,731410,232113714,1426577,8,4,6034501632,8984821760,64.9,500068036608,15324188672,9421000704,61.9,4291297280,1077411840,79.9,0
584,112819.89,34.7,91035,733447,232124541,1377806,8,4,6016372736,9006952448,65.0,500068036608,15324188672,9514872832,61.7,4291297280,1077411840,79.9,0
586,112821.91,44.0,83832,734403,232169076,1383840,8,4,6011584512,9007874048,65.0,500068036608,15324188672,9515515904,61.7,4291297280,1077411840,79.9,0
588,112823.96,47.5,44574,738333,232221660,1419820,8,4,5998157824,9009229824,65.1,500068036608,15324188672,9514659840,61.7,4291297280,1077411840,79.9,0
591,112825.97,21.1,29385,742713,232245091,1432339,8,4,5987221504,9018912768,65.1,500068036608,15324188672,9513787392,61.7,4257742848,1110966272,79.3,0
591,112827.98,33.2,17367,741455,232264895,1445055,8,4,5990080512,9012285440,65.1,500068036608,15324188672,9513152512,61.7,4257742848,1110966272,79.3,0
592,112829.99,30.7,15833,741433,232298887,1438674,8,4,5957660672,8981221376,65.3,500068036608,15324188672,9511612416,61.7,4257742848,1110966272,79.3,0
592,112832.01,11.0,18748,735903,232300139,1439953,8,4,5974839296,8964497408,65.2,500068036608,15324188672,9514491904,61.7,4257742848,1110966272,79.3,0
591,112834.02,8.5,21629,732440,232301587,1440695,8,4,5989679104,8950497280,65.1,500068036608,15324188672,9513934848,61.7,4257742848,1110966272,79.3,0
592,112836.03,8.7,20149,726559,232303968,1443356,8,4,5994500096,8944861184,65.1,500068036608,15324188672,9513693184,61.7,4257742848,1110966272,79.3,0
